ID,Age,Sex,IQ,Height,Died,start_date,Scoring,Smoker,Grade_1,Grade_2,Grade_3,Item_1,Item_2,Item_3,Item_4,Sentence,Language_1,Language_2,State
00001,23,Female,113,72,TRUE,2007-04-23,-0.8707970450113975,FALSE,86.5,93.8,92.5,3,3,1,5,I will stand with Israel if they are attacked.,Sylheti,Ilokano,California
00002,24,Male,102,74,FALSE,2008-10-24,-1.7966029968601707,FALSE,84.4,85.9,85.3,1,1,1,3,They're willing to work with us.,Punjabi,Gujarati,Michigan
00003,25,Male,113,68,TRUE,2009-04-05,0.6793120996851513,FALSE,85.1,86.4,85.2,3,2,4,5,We we had to go into Pakistan.,German,English,California
00004,26,Male,100,66,FALSE,2010-12-28,-1.8143427940397974,TRUE,88.7,93.8,84.6,5,4,2,4,That's not the kind of advocacy that women need.,Cantonese,Spanish,Massachusetts
00005,29,Female,107,68,FALSE,2011-04-29,-0.7598406003971424,FALSE,89.7,94.4,88.9,2,2,3,3,We've opened up public lands.,Portuguese,Haitian Creole,Ohio
00006,20,Female,104,64,FALSE,2010-08-06,1.496408105741163,FALSE,86.5,86.5,86.8,3,2,4,2,"We're a nation that believes in the Second Amendment, and I believe in the Second Amendment.",Mossi,Spanish,Arizona
00007,21,Male,92,74,TRUE,2011-12-15,-1.0519842191540365,TRUE,89.7,88.3,87.9,4,1,3,2,Nothing could be further from the truth.,Somali,Polish,Oregon
00008,31,Male,82,68,FALSE,2007-08-09,-1.2254743523849425,FALSE,90.9,91.8,84.6,4,5,2,1,And that's because we've become weaker in each of those four|,Sylheti,English,New York
00009,22,Female,108,65,FALSE,2008-03-09,-0.897967319459697,FALSE,89.6,85,80.3,3,4,2,1,the choice in this election is going to be whose promises are going to be more likely to help you in your life?,English,Quechua,North Carolina
00010,22,Male,85,69,TRUE,2008-10-19,-0.437520805624841,TRUE,91.7,91.1,95.8,2,1,4,3,"We we have, with our partners in the region, we have sufficient resources to support those groups.",Mossi,Polish,Massachusetts
00011,31,Female,89,74,TRUE,2010-06-13,0.24142397115722253,FALSE,88.6,86.3,86.2,1,2,1,2,But what I've also said is we can't just produce traditional source of energy.,Swahili,English,Nevada
00012,32,Female,110,67,TRUE,2010-02-19,0.8538657083680756,FALSE,84.5,83.3,89.4,3,3,1,1,"I met a young woman in in Philadelphia who's coming out of out of college, can't find work.",Hindi,Spanish,Arizona
00013,25,Female,93,73,FALSE,2011-01-25,0.26778477319252997,FALSE,92.5,84,91.1,2,5,3,2,"Now with respect to what we've done with China already, U.",Bengali,Wu,Tennessee
00014,26,Female,111,73,FALSE,2008-11-23,0.24677848396789331,FALSE,82.8,89.9,89.6,3,3,3,3,"And Governor, let's before we get into a|",Hakka,Spanish,Georgia
00015,25,Female,109,64,FALSE,2009-07-03,-0.8472768485522748,FALSE,87.4,83.5,88.5,1,3,4,5,"People around the world with accredited degrees in science and math get a green card stapled to their diploma, come to the U.",Belarusian,Arabic,Ohio
00016,26,Male,90,69,TRUE,2010-05-03,1.162558251986463,TRUE,77.4,89.9,89.6,2,5,2,3,"Now, what he says is he's going to make sure that this doesn't add to the deficit and he's going to cut middleclass taxes.",Marathi,Min Dong,Michigan
00017,28,Female,111,67,FALSE,2011-02-25,-0.835936660944462,TRUE,89.6,89.5,87.4,2,5,4,2,And this calls into question the president's whole policy in the Middle East.,Polish,Xhosa,Pennsylvania
00018,20,Male,113,62,TRUE,2009-09-01,0.7063492584946195,TRUE,87.3,82,90.2,3,5,5,1,What you just heard Governor Romney said is he doesn't have different ideas.,Ilokano,Awadhi,Washington
00019,26,Male,112,69,TRUE,2010-07-04,0.5028648288728238,FALSE,93.2,86.7,80.4,3,2,3,5,"He was right, but then he put in place deficits twice that size for every one of his four years.",Ukrainian,Kannada,Kentucky
00020,33,Female,112,70,TRUE,2011-12-14,0.0936791330883835,FALSE,88.8,90,92.9,5,5,1,1,They would have gone through a|,Kinyarwanda,Uyghur,Ohio
00021,21,Female,106,67,FALSE,2008-01-09,1.0292319372810819,TRUE,85.6,91.5,93.9,4,2,2,5,I want to make sure we keep our Pell grant program growing.,Min Bei,Kinyarwanda,Georgia
00022,28,Female,89,66,TRUE,2007-11-10,-0.06128434871802215,FALSE,92.3,87.4,83.5,1,2,2,1,Let's let him respond let's let him respond to this specific on Dodd Frank and what the governor just said.,Kannada,Marathi,Florida
00023,33,Male,89,65,FALSE,2011-03-30,-1.1990869437955176,TRUE,88.9,81.5,84.9,2,3,4,4,He can't tell you.,Belarusian,Vietnamese,Texas
00024,24,Female,81,76,FALSE,2007-04-20,1.088558029404732,FALSE,83.4,88.4,87.2,3,1,3,2,What caused it?,Hindi,Arabic,North Carolina
00025,32,Female,91,70,FALSE,2009-11-24,0.2608678029502623,TRUE,83.9,86.1,89.1,4,1,4,1,"We take program after program that we don't absolutely have to have, and we get rid of them.",Uyghur,Italian,California
00026,23,Male,109,73,FALSE,2010-05-19,0.07010034972175279,TRUE,85.7,81.5,92.4,5,1,2,2,I want to make sure our take home pay turns around and starts to grow.,Portuguese,Vietnamese,Rhode Island
00027,32,Male,112,69,TRUE,2007-10-18,-1.7754778638858195,TRUE,90.3,92.3,91.1,2,2,2,2,"I mean, the president received a letter from thirty eight Democrat senators saying the tensions with Israel were a real problem.",English,Awadhi,New Jersey
00028,30,Male,101,69,FALSE,2012-02-27,-0.3844691459329246,TRUE,79,89.5,88,3,1,2,2,It holds down the prices of their goods.,Quechua,Hakka,New York
00029,21,Female,122,66,TRUE,2012-08-17,-0.519791840136377,TRUE,84.7,90.5,84.5,3,4,4,3,They're getting hurt.,Ilokano,Sylheti,Missouri
00030,26,Female,95,71,FALSE,2011-12-05,0.6636666004255687,FALSE,88,91,86.2,1,4,1,3,They have to abide by their treaty with Israel.,Portuguese,Malayalam,Florida
00031,26,Male,102,65,FALSE,2010-01-04,-0.23284554464843601,TRUE,85.8,82.5,85,2,1,4,5,Production is up.,Min Dong,German,California
00032,23,Male,92,71,TRUE,2012-04-25,-1.511453253283386,TRUE,85.3,79.9,91.3,3,4,2,3,And so the question now is how do we build on those strengths.,German,Hmong,Florida
00033,23,Male,87,74,TRUE,2010-04-13,0.32999912964993,FALSE,87.9,89.1,79.6,4,3,4,5,Absolutely not.,Arabic,Portuguese,Texas
00034,34,Male,110,72,FALSE,2012-08-31,0.9506789715445427,TRUE,90.6,89.3,97.8,4,2,3,1,You're absolutely right.,Dhundhari,English,Pennsylvania
00035,25,Female,107,72,FALSE,2009-04-18,0.3894700835087592,FALSE,90.7,88.8,85.9,2,5,3,3,You want it repealed.,Quechua,Tamil,North Carolina
00036,34,Female,111,71,FALSE,2009-08-22,-0.9904753306636669,TRUE,89.6,85.4,93.3,1,3,4,1,"Now, I want to build on that.",Burmese,Ilokano,New York
00037,24,Male,92,69,FALSE,2012-07-17,0.2642623524340675,TRUE,85.3,83.4,87.2,5,3,2,3,"His main strategy during the Republican primary was to say, We're going to encourage self deportation.",Ilokano,Arabic,Michigan
00038,33,Female,94,72,TRUE,2011-04-18,0.8639325914775271,TRUE,89.2,92.9,80.2,2,5,2,2,"But I believe we want to make sure that we have the relationships of friendship with the people that take his place, steps that in the years to come we see Syria as a as a friend, and Syria as a responsible party in the Middle East.",English,Portuguese,Illinois
00039,22,Female,97,67,FALSE,2007-10-22,1.0265060258235827,TRUE,96,92.7,85.4,2,1,4,3,"If we don't have the best education system in the world, if we don't continue to put money into research and technology that will allow us to create great businesses here in the United States, that's how we lose the competition.",Spanish,French,Massachusetts
00040,20,Male,108,67,TRUE,2008-09-10,0.9433665921119616,FALSE,95.1,85.7,86.9,2,3,5,3,"And everybody's getting a fair share everybody's doing a fair share, and everybody's playing by the same rules.",Xhosa,Hausa,California
00041,26,Male,116,62,FALSE,2011-05-15,-0.9369557515685766,TRUE,85.3,94,86.9,3,3,1,1,"I'm glad you thought I was a standard bearer four years ago, but I wasn't.",English,Portuguese,New Hampshire
00042,24,Male,120,72,FALSE,2008-12-10,1.1195941135570249,FALSE,80.3,88.9,85.2,3,1,3,4,"But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be ten.",Oriya,Swedish,Illinois
00043,25,Female,99,75,FALSE,2008-08-29,-0.7759442448695256,TRUE,75.8,90.7,88.9,4,3,2,3,Ones that can support a family.,Persian,Chewa,Texas
00044,21,Female,99,67,FALSE,2011-03-17,-0.0331275031167199,TRUE,95.2,89.1,95.9,3,4,1,5,"So for those reasons, for the tax, for Medicare, for this board, and for people losing their insurance, this is why the American people don't want Medicare don't want Obamacare.",English,Tagalog,Kansas
00045,30,Female,113,65,TRUE,2009-08-09,0.32968451287511374,FALSE,92.7,83,87.5,3,5,2,5,"What if what if the prime minister of Israel called you on the phone and said, Our bombers are on the way.",Malayalam,Hindi,Arizona
00046,29,Male,105,72,FALSE,2009-05-09,0.5696618792543852,FALSE,92.9,89.6,94.3,4,2,2,2,"Number three, gender equality.",Konkani,Kirundi,New Jersey
00047,29,Female,97,71,TRUE,2012-01-08,-1.3118516986134725,TRUE,87.8,85,89.7,1,2,2,2,"It wasn't just that this was the biggest driver of our federal deficit, our overall health care costs, but it was families who were worried about going bankrupt if they got sick, millions of families, all across the country.",Russian,Portuguese,Illinois
00048,29,Male,99,65,TRUE,2009-06-29,0.06319153646256395,TRUE,94.5,90.6,87.5,1,5,3,1,That's that's a big topic.,Uyghur,Konkani,Texas
00049,29,Male,104,66,TRUE,2012-01-06,0.07011786114240393,FALSE,92.5,91,87.5,4,3,4,4,"We are here for the second presidential debate, a town hall, sponsored by the Commission on Presidential Debates.",English,English,Florida
00050,26,Male,107,66,FALSE,2008-02-12,-1.6057713898849535,FALSE,85.9,92.1,85.4,3,4,5,2,"What we've said is to states, we'll give you more money if you initiate refor Miss And as a consequence, you had forty six states around the country who have made a real difference.",English,Portuguese,South Carolina
00051,32,Female,101,67,FALSE,2011-01-27,-0.27545283423663997,TRUE,81.1,89.3,91.8,5,4,5,4,Production is up.,Hmong,Uzbek,Texas
00052,30,Female,104,73,FALSE,2009-08-09,1.0284302958158607,TRUE,93.9,88,85.9,1,4,1,2,I would indict him for it.,Spanish,Hmong,Nebraska
00053,33,Female,107,67,FALSE,2009-10-18,0.7273599000392508,TRUE,85.9,89.4,86.4,5,4,2,5,The federal government can get local and and state schools to do a better job.,Korean,Quechua,Indiana
00054,22,Female,103,73,TRUE,2009-03-22,-0.577589717665458,FALSE,87.7,87.4,90.5,3,3,5,2,"If somebody came to you, Governor, with a plan that said, here, I want to spend dollar seven or dollar eight trillion, and then we're going to pay for it, but we can't tell you until maybe after the election how we're going to do it, you wouldn't take such a sketchy deal and neither should you, the American people, because the math doesn't add up.",Swedish,Spanish,California
00055,28,Female,122,74,FALSE,2007-07-28,-1.591692608816539,TRUE,89,90.4,82.8,2,5,3,1,S.,Telugu,Korean,Ohio
00056,27,Female,101,68,FALSE,2011-04-11,-1.1456734532444088,FALSE,82.5,93.7,92.9,4,5,2,4,But I want to I want to move you on and also|,Xhosa,English,California
00057,25,Male,97,68,TRUE,2011-02-21,0.14767705761984348,FALSE,84.8,88.7,92.3,5,4,4,5,S.,Uyghur,Mossi,Iowa
00058,31,Male,117,66,TRUE,2012-01-24,0.9780694156889074,TRUE,93.2,90.3,88,5,4,2,2,"And kids across this country are going to recognize, we're bringing back an economy.",Hindi,Marathi,Maryland
00059,30,Female,92,61,TRUE,2011-06-29,-0.23167526234403835,TRUE,93.6,83,86.4,2,1,1,3,I want it to be clearer.,Ukrainian,Maithili,Maryland
00060,30,Female,92,70,FALSE,2008-05-31,-1.1052507683505677,TRUE,88.9,88.7,82.3,1,5,2,1,"And what I now want to do is to hire more teachers, especially in math and science, because we know that we've fallen behind when it comes to math and science.",Hakka,Chhattisgarhi,California
00061,32,Male,102,74,FALSE,2007-09-30,-1.0277393286781553,TRUE,76.6,79.2,82.2,4,5,3,5,"First of all, I'm going through from the very beginning we're going to cut about five percent of the discretionary budget, excluding military.",Xhosa,Korean,Michigan
00062,29,Female,103,65,TRUE,2007-09-04,0.07247823926321104,FALSE,93,79.1,86.3,2,2,1,1,That's not the way we're going to create jobs here.,Haitian Creole,Sundanese,Missouri
00063,33,Female,98,64,FALSE,2012-03-25,1.8422586775978163,FALSE,83.1,86.7,96.9,1,3,2,3,"And if we had asked Pakistan permission, we would not have gotten him.",French,Hindi,Washington
00064,30,Female,107,73,FALSE,2011-09-03,-0.8713508190144676,FALSE,81,88.8,81.3,1,5,2,3,And so what I want is a is a comprehensive strategy.,Sylheti,Haitian Creole,Ohio
00065,26,Male,96,70,FALSE,2012-05-29,-1.0767046203493758,TRUE,81.4,82.3,92.4,1,5,1,4,"We didn't also do something that I think a number of people across this country recognize, which is put put people in a position where they're going to lose the insurance they had and they wanted.",Ukrainian,Jin,Connecticut
00066,28,Female,109,69,TRUE,2010-12-02,-0.18879004722836443,FALSE,86,89.9,91.6,5,2,4,4,"What is the deal that you would accept, Mister President?",Kannada,Arabic,Florida
00067,28,Male,104,72,TRUE,2012-04-27,-0.02119113837884076,TRUE,84.9,88,84.9,4,5,4,2,And we have stood on the side of democracy.,Russian,Hindi,California
00068,21,Female,112,71,FALSE,2009-10-16,-1.1020515688493788,TRUE,85.9,93.4,86,4,4,2,3,"I want to ask you something, Mister President, and then have the governor just quickly.",Haitian Creole,Zulu,California
00069,20,Female,105,71,FALSE,2010-06-26,0.7548608855578289,TRUE,88.3,85.1,93.3,5,5,1,3,"You know when members of the Republican Congress say, We're going to sign a no tax pledge, so that we don't ask a dime for millionaires and billionaires to reduce our deficit so we can still invest in education, and helping kids go to college.",Min Dong,Sylheti,Washington
00070,20,Female,107,67,TRUE,2008-04-28,1.3590382524128826,TRUE,91.3,88.2,93.4,4,5,2,3,"We've been there a long time, and we've got to make sure that we and our coalition partners are pulling out responsibly and giving Afghans the capabilities that they need.",Kirundi,Kurdish,Kentucky
00071,27,Male,85,69,TRUE,2011-05-27,0.06282236837280993,FALSE,89.2,84.9,87,5,4,2,2,Think of this as their country.,Min Nan,Spanish,Kentucky
00072,27,Male,101,66,FALSE,2007-10-23,-0.16203820746882736,TRUE,88.4,85.9,91.1,5,1,2,3,There's a fundamentally different vision about how we move our country forward.,Hmong,Arabic,Pennsylvania
00073,23,Female,123,70,FALSE,2012-06-12,-0.9398704678586766,TRUE,86.7,81.3,90,4,1,1,5,"We are mobilizing humanitarian support, and support for the opposition.",Javanese,Haitian Creole,Georgia
00074,27,Male,98,72,FALSE,2010-02-13,0.06620454207746926,FALSE,87.2,87.5,81.4,4,1,3,1,Our association and connection with our allies is essential to America's strength.,Xhosa,English,California
00075,23,Male,100,68,TRUE,2009-05-03,-2.2273891211739976,TRUE,89.7,85.7,86.5,3,2,4,2,because the private sector's not going to invest in a|,Hmong,Igbo,California
00076,26,Male,94,68,TRUE,2008-05-05,-1.620858865718994,TRUE,87.9,87.6,90.7,1,1,3,3,"And with respect to this pipeline that Governor Romney keeps on talking about, we've we've built enough pipeline to wrap around the entire earth once.",Arabic,Portuguese,Alabama
00077,24,Male,89,71,FALSE,2007-04-16,-0.5903617070521383,TRUE,89.9,91.1,90.1,3,1,5,1,is completely|,Punjabi,Tagalog,Nevada
00078,20,Male,89,73,FALSE,2010-09-17,-0.15031715259722497,FALSE,87.2,95.5,84.8,3,4,4,1,Mister President?,Shona,Thai,Indiana
00079,20,Male,95,71,FALSE,2010-02-26,0.3644420539819641,FALSE,85.8,88.6,87.6,2,5,5,3,I'm sorry that's a|,Arabic,Javanese,Florida
00080,20,Female,80,71,FALSE,2010-04-21,-1.2167934693295686,TRUE,86.1,86.9,82.5,2,3,4,5,And this is an example of where our priorities make a difference.,Spanish,Javanese,Texas
00081,23,Female,91,73,TRUE,2009-12-16,-1.0603149043207074,FALSE,90.7,85.3,83.5,5,2,2,3,"Number two, if you don't have health insurance, we're essentially setting up a group plan that allows you to benefit from group rates that are typically eighteen percent lower than if you're out there trying to get insurance on the individual market.",Shona,Min Nan,Pennsylvania
00082,34,Female,107,68,TRUE,2011-06-23,0.8053417216761255,FALSE,86.9,86.6,89,1,1,5,1,You're seeing it right now in the economy.,Quechua,Saraiki,Ohio
00083,23,Male,95,70,TRUE,2012-08-16,-0.591235912584095,TRUE,85.9,98.7,95.8,1,2,5,5,"Mister President, we have a really short time for a quick discussion here.",Dhundhari,Burmese,North Carolina
00084,26,Female,91,72,TRUE,2011-01-27,0.3858752816111037,TRUE,89,95.1,84.8,4,5,1,1,We don't have to settle for unemployment at a chronically high level.,Mossi,Punjabi,Nevada
00085,31,Female,98,70,TRUE,2012-08-03,2.587830405798945,FALSE,89.6,86.9,82.1,1,1,2,5,You don't want to cut defense spending.,French,Somali,Iowa
00086,22,Male,95,72,FALSE,2012-08-25,-0.5177031198644887,FALSE,92.2,91.3,87.9,4,4,3,2,"And the answer they came up with was this: One, more economic development.",Arabic,Swedish,California
00087,28,Male,117,61,TRUE,2008-10-06,0.8369395419226768,TRUE,87,81,91.8,5,5,3,2,Can we can the two of you agree that the voters have a choice a clear choice between the two|,Russian,Zulu,California
00088,28,Male,93,61,FALSE,2008-01-26,0.8663873734923792,FALSE,90.7,92.6,92.6,4,1,4,2,We organized the Friends of Syria.,Dutch,Hmong,California
00089,25,Male,100,72,TRUE,2007-11-24,0.42300502403794765,FALSE,89.6,86.1,89.5,2,3,2,1,You took Chrysler bankrupt.,Igbo,Malay/Indonesian,Ohio
00090,29,Male,106,68,TRUE,2009-11-02,0.5002210202289721,TRUE,93,92.3,93.3,1,1,1,2,"Syria Syria's not just a tragedy of thirty thousand civilians being killed by a military, but also a strategic strategically significant player for America.",Kannada,Arabic,Ohio
00091,28,Male,96,63,FALSE,2010-11-27,-0.015300331041550435,FALSE,82.1,77.3,87,4,4,3,5,"The notion that we would have tanks run over those young people who were in Tahrir Square, that is not the kind of American leadership that John F.",Javanese,Burmese,Texas
00092,31,Male,104,66,TRUE,2008-05-03,-1.0887659759581032,TRUE,87.2,86.6,83,1,3,1,4,What you just heard Governor Romney said is he doesn't have different ideas.,Spanish,Marathi,Texas
00093,24,Male,87,67,TRUE,2010-08-11,-0.4286683157138564,TRUE,84.4,88.7,92.9,3,1,4,5,"In the last four years, you cut permits and licenses on federal land and federal waters in half.",Arabic,Italian,Illinois
00094,24,Female,98,71,TRUE,2010-02-23,0.11434553582191616,FALSE,83.6,84.4,83.9,3,5,5,1,"I I was I was someone who ran businesses for twenty five years, and balanced the budget.",Bengali,Korean,Idaho
00095,20,Female,84,68,FALSE,2008-09-05,0.19314529474820885,FALSE,91.6,90.4,87.8,2,2,4,1,We've seen progress and gains in schools that were having a terrible time.,Xhosa,Spanish,Oregon
00096,27,Female,112,64,TRUE,2008-01-31,1.2191107902414025,FALSE,82.1,84.9,87.8,5,1,5,2,"And we're going to make sure that if they do not meet the demands of the international community, then we are going to take all options necessary to make sure they don't have a nuclear weapon.",English,Gujarati,Tennessee
00097,20,Male,99,73,TRUE,2012-07-20,0.4928281570040676,FALSE,90.4,89.1,86.4,2,2,3,5,"It just reminds me of, you know, he says that he's going to close deductions and loopholes for his tax plan.",Haitian Creole,Hindi,Ohio
00098,21,Male,93,67,TRUE,2011-01-04,-1.4936054859229426,FALSE,86.1,91.9,95.1,4,5,1,3,"Thank you, Mister President.",German,Azerbaijani,New Jersey
00099,28,Female,106,68,FALSE,2011-01-25,-0.3883824871516847,FALSE,87.4,87.8,87.2,5,5,3,2,"In some places, yes.",Portuguese,Quechua,Virginia
00100,21,Male,107,66,TRUE,2008-10-01,-0.5518544288941993,FALSE,92.7,86.3,87.3,5,5,5,5,And we want to get a question from Phillip Tricolla.,Sylheti,Hindi,Arizona
00101,31,Male,115,62,TRUE,2011-12-13,0.810582987430349,FALSE,91,91.4,91.4,5,4,1,3,I was in coal country.,Awadhi,Mossi,Alabama
00102,29,Male,110,64,TRUE,2008-05-21,2.3281060526303965,TRUE,90.2,84.4,84.5,4,1,4,3,Nothing could be further from the truth.,Russian,Cebuano,Minnesota
00103,20,Female,92,61,TRUE,2010-08-05,-1.8170971311638624,TRUE,91.2,91.9,82.6,4,2,2,1,"And what's happened over the last four years has been very, very hard for America's young people.",Tamil,Bengali,Texas
00104,27,Female,106,72,FALSE,2011-09-22,0.3022333494742188,FALSE,93.7,93.7,88.8,1,4,1,4,"Number two, we're going to have to stop illegal immigration.",Hungarian,Czech,Texas
00105,34,Female,104,75,TRUE,2009-08-21,-2.386699850224719,FALSE,87.7,87.9,92.9,2,5,2,1,We then started to build up Afghan forces.,Portuguese,Kurdish,New Mexico
00106,29,Female,106,76,TRUE,2008-08-20,-0.7946030264764337,TRUE,89.2,87.7,89.7,1,3,5,3,"That's why on day one, i will label them a currency manipulator, which allows us to apply tariffs where they're taking jobs.",Bengali,Cantonese,California
00107,28,Male,93,66,FALSE,2007-05-22,-0.23453359009163083,TRUE,87.3,90,83.4,1,5,1,5,"We see in in Libya, an attack apparently by, I think we know now, by terrorists of some kind against against our people there, four people dead.",Uyghur,Xhosa,Tennessee
00108,25,Male,86,66,TRUE,2007-09-10,0.9857478157042837,TRUE,93,91.3,92.8,5,4,4,1,"Look, this, in my view, is the highest responsibility of the President of the United States, which is to maintain the safety of the American people.",Arabic,Kinyarwanda,Louisiana
00109,35,Male,102,73,FALSE,2008-03-09,1.621605464137974,FALSE,87.4,89.2,94.4,5,5,4,2,"Since both you and President Bush are Republicans, I fear a return to the policies of those years should you win this election.",Javanese,Cebuano,Colorado
00110,32,Female,99,73,FALSE,2008-07-21,0.27999816600140764,FALSE,88.3,86,84.5,5,2,1,5,They look at our our decision to to cut back on our military capabilities.,Gan,Kirundi,New Jersey
00111,34,Male,82,67,TRUE,2011-08-10,1.4156694094123927,TRUE,80.2,89.4,87.9,5,4,1,3,"I know what it takes to get this to happen, and my plan will do that, and one part of it is to make sure that we keep China playing by the rules.",French,Javanese,Tennessee
00112,32,Male,118,67,FALSE,2010-12-08,-0.03128811560627917,FALSE,85,91.1,86.4,2,1,5,1,The timekeepers are all working.,Pashto,Punjabi,Florida
00113,29,Female,109,62,TRUE,2010-03-17,0.3942487847327597,TRUE,88.5,87.7,81.5,3,5,4,5,"in the follow up, it doesn't quite work like that.",Arabic,Hindi,Illinois
00114,28,Male,83,67,FALSE,2009-08-30,0.8727148788938558,TRUE,86.8,92.5,85.2,5,5,2,4,But it does say insurance companies can't jerk you around.,Fula,Yoruba,Pennsylvania
00115,24,Male,100,73,FALSE,2010-09-28,1.338127745155963,TRUE,80.5,83.2,85.1,3,4,1,4,"Secondly, Syria is an opportunity for us because Syria plays an important role in the Middle East, particularly right now.",Spanish,Kinyarwanda,Virginia
00116,25,Female,88,66,TRUE,2007-05-27,0.4690710942550474,FALSE,89.8,91.4,94.3,1,2,2,5,"Now, let's move to health care where I know there is a clear difference, and that has to do with the Affordable Care Act, Obamacare.",Arabic,Zulu,Nevada
00117,26,Male,97,65,TRUE,2009-11-25,2.138414214488758,TRUE,93.7,83.8,91,5,2,1,3,But that was ten years before you took office.,Russian,Russian,New York
00118,29,Male,92,73,TRUE,2009-10-20,-0.554338220819097,TRUE,91.6,91.3,84.2,2,3,3,1,But I'll respond to a couple of things that you mentioned.,Polish,English,Illinois
00119,25,Male,89,66,TRUE,2010-06-09,-1.0015487297504244,FALSE,88.1,88.7,79.5,5,3,3,1,Two thirds of our jobs come from small businesses.,Tamil,English,Michigan
00120,22,Female,85,76,TRUE,2009-07-19,-1.1565901130363616,TRUE,87.9,88.8,92.6,4,5,3,2,"You were very clear that you would not provide, government assistance to the U.",Shona,Oriya,Illinois
00121,20,Male,81,67,TRUE,2007-10-28,1.4120730448982008,FALSE,83.8,89.5,87.5,2,5,4,5,"All of these things suggested, I think, to the Iranian mullahs that, hey, you know, we can keep on pushing along here, we can keep talks going on, we're just going to keep on spinning centrifuges.",Pashto,Hindi,Pennsylvania
00122,33,Female,84,68,FALSE,2007-10-23,0.9274060496454879,FALSE,91.6,94.4,92.2,5,1,4,2,It also means we're helping them and small businesses to export all around the world to new markets.,Uyghur,Telugu,Georgia
00123,34,Male,91,71,FALSE,2011-12-19,0.5135759586136377,FALSE,90.9,94.3,90.9,1,1,1,2,"But I also believe that when he said behind closed doors that forty seven percent of the country considered themselves victims who refuse personal responsibility, think about who he was talking about.",Hakka,English,Georgia
