ID,Age,Sex,IQ,Height,Died,start_date,Scoring,Smoker,Grade_1,Grade_2,Grade_3,Item_1,Item_2,Item_3,Item_4,Sentence,Language_1,Language_2,State
00124,22,Male,104,70,FALSE,2010-08-10,-0.63718952371692,TRUE,85.4,86.4,81,5,5,1,3,"And let's take the money that we've been spending on war over the last decade to rebuild America, roads, bridges schools.",Japanese,English,New York
00125,26,Female,112,67,FALSE,2011-01-04,-0.008546565148728733,FALSE,86,89.9,82.6,2,2,4,4,"And then, of course, with regards to standing for our principles, when when the students took to the streets in Tehran and the people there protested, the Green Revolution occurred, for the president to be silent I thought was an enormous mistake.",Japanese,Kirundi,North Carolina
00126,35,Female,119,65,TRUE,2009-05-10,-0.12869967232645846,FALSE,95.7,87,92,3,4,1,3,Under no circumstances would I do anything other than to help this industry get on its feet.,Xiang,Punjabi,California
00127,24,Female,99,70,TRUE,2009-06-08,-0.7422103829187748,FALSE,93.4,91.7,80.9,3,2,5,1,Asking the wealthy to pay a little bit more along with cuts so that we can invest in education like yours.,Javanese,Kinyarwanda,Illinois
00128,32,Female,95,68,TRUE,2010-03-24,-0.7467136089404435,FALSE,82.5,79.2,89.2,3,3,4,2,But we have some work to do.,German,Marathi,Indiana
00129,32,Female,97,67,FALSE,2012-09-14,0.5926656433332914,FALSE,85.7,91.9,92.5,5,4,3,5,"You know, there are some things where Governor Romney is different from George Bush.",Balochi,Javanese,Maine
00130,33,Female,123,65,TRUE,2008-10-19,1.6539955889826146,TRUE,89.9,86.5,86.1,2,5,2,5,"Mister President, let me |",Spanish,Min Bei,Florida
00131,27,Female,100,75,FALSE,2010-01-15,0.3598585855230768,TRUE,83,91.8,98.6,1,3,2,1,I will never know.,Romanian,Burmese,Florida
00132,33,Male,81,70,TRUE,2008-08-25,1.8251125608785037,FALSE,88.6,90.1,85.9,2,4,5,1,"And by the way, you skipped Israel, our closest friend in the region, but you went to the other nations.",Javanese,Balochi,Montana
00133,28,Male,106,69,TRUE,2008-04-03,1.8068817487343596,FALSE,95.3,85.8,93.2,2,3,2,1,We'll talk about specifically about health care in a moment.,Malay/Indonesian,Hindi,South Carolina
00134,24,Female,103,71,TRUE,2010-10-18,0.6327780317726456,FALSE,82.5,88.6,84.1,5,1,1,4,And we are now in a position where we have met many of the objectives that got us there in the first place.,Min Dong,Hindi,California
00135,27,Female,97,71,TRUE,2008-07-17,0.61841142411942,FALSE,83.9,93.1,93.3,4,3,5,2,"Bush, and how do you differentiate yourself from George W.",Dhundhari,Gan,North Carolina
00136,26,Male,93,66,TRUE,2010-01-01,-1.1276984318944983,TRUE,84.2,86.7,87.5,2,5,1,5,I want to call on Michael Jones.,Nepali,Tamil,California
00137,26,Female,95,67,TRUE,2012-09-01,-0.08777843149465991,FALSE,92,85,91.6,5,5,2,4,You just gave a speech a few weeks ago in which you said we should still have troops in Iraq.,Kinyarwanda,Spanish,Nevada
00138,32,Male,115,69,FALSE,2009-03-16,-1.0456833035594233,TRUE,89.9,81.8,79.2,4,2,3,1,"And that we do those things that make America the most attractive place in the world for entrepreneurs, innovators, businesses to grow.",Belarusian,Wu,Wisconsin
00139,32,Female,95,70,FALSE,2012-04-08,1.2285213054879407,FALSE,84.3,84.9,93.9,2,3,4,5,What you did instead was to push through a plan without a single Republican vote.,Arabic,Dhundhari,Maryland
00140,23,Female,91,63,FALSE,2011-06-09,2.3954018446335286,FALSE,91.9,86.7,89.9,1,3,3,5,All those changes in our tax code would make a difference.,Oriya,Malay/Indonesian,Missouri
00141,21,Male,99,72,TRUE,2010-08-28,0.7167221809388559,FALSE,88.2,87.7,84.3,3,3,3,5,"That's that's important, of course.",Balochi,Hmong,Texas
00142,35,Male,104,68,FALSE,2011-03-03,1.935508008819333,FALSE,80,92.2,91.8,2,3,4,4,"Making sure that we're bringing manufacturing back to our shores so that we're creating jobs here, as we've done with the auto industry, not rewarding companies that are shipping jobs overseas.",Ilokano,Malay/Indonesian,Michigan
00143,26,Male,90,70,TRUE,2012-06-09,0.42303282752880667,TRUE,90.7,91.7,84.8,3,3,4,4,We are playing the leadership role.,Malagasy,Kannada,Nevada
00144,24,Female,110,70,FALSE,2008-05-06,0.9863744441284615,TRUE,92.6,86.2,83,2,4,5,2,get someone else's.,Kinyarwanda,Balochi,Pennsylvania
00145,33,Female,95,71,FALSE,2010-07-07,-0.7720569105585551,FALSE,88.5,91.7,86.3,5,2,3,2,Why am I lowering taxes on the middle class?,Hiligaynon,Dhundhari,Wisconsin
00146,21,Male,95,71,TRUE,2011-01-28,-1.2776696400645449,TRUE,81.4,87.5,87.2,4,3,1,2,"Governor Romney, you keep on trying to, you know airbrush history here.",Xhosa,Thai,Mississippi
00147,33,Male,97,66,TRUE,2011-07-14,-0.130920278736289,TRUE,74.5,84.2,85,1,5,1,4,Absolutely.,Spanish,Vietnamese,Texas
00148,29,Female,98,71,TRUE,2011-02-06,0.1818795302859529,TRUE,88,86.2,94.4,3,3,3,3,"You might say, Well, you got an example of one that worked better?",English,Italian,Mississippi
00149,27,Female,120,68,TRUE,2009-08-17,0.6930828342704687,FALSE,91.7,89.4,88.3,1,4,2,4,taxes compared to companies here that are paying taxes.,Quechua,English,New York
00150,27,Female,106,72,TRUE,2012-02-18,-0.3169720456055689,TRUE,80.4,88.7,83.4,2,3,2,2,"And when we do things like that when we bring those who have harmed us to justice, that sends a message to the world and it tells Peyton that we did not forget her father.",Portuguese,Swedish,California
00151,27,Female,97,76,TRUE,2010-11-18,0.16748425647848372,FALSE,94.4,85.5,86.9,5,5,5,5,You keep your own doctor.,Konkani,English,Arizona
00152,28,Male,97,62,TRUE,2008-12-07,0.7730460583502257,FALSE,92.1,84.8,88.2,5,5,5,5,This was an attack by terrorists.,Arabic,Kirundi,New York
00153,21,Female,94,74,TRUE,2010-10-08,-1.1197991044418707,TRUE,91.2,82.8,93,1,5,2,1,He gets the first.,Spanish,Russian,Indiana
00154,25,Male,112,65,TRUE,2007-12-07,-1.4645450427254876,FALSE,88.7,83.8,86.7,5,4,2,2,"So I'll let the American people decide, judge, who's going to be more effective and more credible when it comes to imposing crippling sanctions.",Balochi,Arabic,Maryland
00155,26,Male,99,67,TRUE,2009-07-30,0.33028771302788973,FALSE,86.9,82.7,89.4,4,5,4,4,I do not believe in cutting our military.,Min Nan,Hungarian,Washington
00156,35,Male,104,70,FALSE,2007-09-02,-1.8103791829171267,TRUE,87.8,83.1,83,1,3,1,4,And so seeing Syria remove Assad is a very high priority for us.,Tagalog,Arabic,Pennsylvania
00157,21,Female,99,69,TRUE,2010-02-09,-0.8294260175667681,FALSE,83.1,87.9,93.8,3,4,4,1,"May I ask you, you know, during the Egyptian turmoil, there came a point when you said it was time for President Mubarak to go.",Spanish,Oromo,California
00158,25,Male,95,65,TRUE,2008-02-20,-0.36128397773686627,TRUE,83.7,86.1,87.9,1,2,2,2,It's absolutely true.,Korean,Hindi,Illinois
00159,21,Male,107,79,TRUE,2012-09-08,0.613151469554644,TRUE,88.9,84.2,89,1,3,4,3,"'Cause I'm going to bring rates down across the board for everybody, but I'm going to limit deductions and exemptions and credits, particularly for people at the high end, because I am not going to have people at the high end pay less than they're paying now.",Sylheti,Russian,Massachusetts
00160,33,Female,97,66,FALSE,2008-08-29,1.7865213478242064,FALSE,90.4,89.6,85.4,3,4,3,4,"Well, actually Governor, that isn't what your plan does.",Vietnamese,Hindi,Washington
00161,23,Female,102,70,TRUE,2010-04-01,0.7310812828821903,TRUE,88.1,85.5,89.5,1,1,3,1,"He keeps saying, Look, I've created five million jobs.",Mossi,Czech,Nebraska
00162,26,Female,87,65,TRUE,2011-06-06,1.3570965580825325,FALSE,88.4,88.3,94.9,1,4,3,3,And it was worth moving heaven and earth to get him.,Spanish,Kannada,Michigan
00163,29,Male,102,64,FALSE,2008-07-17,1.6891747493411486,FALSE,90.2,83.5,89.2,5,4,4,4,And we're retaining our workers for the jobs of tomorrow.,Kinyarwanda,Spanish,Florida
00164,34,Male,106,71,TRUE,2008-04-24,-0.4996683774233114,TRUE,89.1,82.9,87.4,2,5,1,4,"Well, thank you very much, Bob, Governor Romney, and to Lynn University.",Chhattisgarhi,Spanish,Indiana
00165,25,Female,117,72,FALSE,2008-02-29,-0.18464809083077252,TRUE,88.6,81.5,88.3,2,5,1,5,"It's what I look forward to doing and I know what it takes to make an economy work, and I know what a working economy looks like.",Bhojpuri,Spanish,Texas
00166,20,Male,74,69,FALSE,2012-08-27,-0.3101157758700436,FALSE,88.7,85.3,85.5,1,5,1,1,"This is a group that is now involved in ten or twelve countries, and it presents an enormous threat to our friends, to the world, to America, long term, and we must have a comprehensive strategy to help reject this kind of extremism.",Bengali,Japanese,Georgia
00167,30,Male,83,66,FALSE,2011-11-14,-0.8734637373300189,FALSE,91.6,89,84,4,2,4,5,We drove our schools to be number one in the nation.,Kinyarwanda,English,Connecticut
00168,25,Male,96,62,FALSE,2009-01-29,-0.6364097375423218,TRUE,78.7,94,86.8,2,5,4,5,"And that's why the plan that I've put forward for manufacturing and education, and reducing our deficit in a sensible way, using the savings from ending wars, to rebuild America and putting people back to work.",Kinyarwanda,Magahi,Mississippi
00169,29,Female,78,73,TRUE,2007-05-04,-0.33986986590556173,FALSE,86.1,93,88.4,4,4,5,4,We've seen progress and gains in schools that were having a terrible time.,Sinhalese,Bengali,California
00170,20,Female,95,68,FALSE,2012-06-29,-0.009833663361022617,FALSE,89.9,93.1,82.9,2,2,1,4,I do not believe in cutting our military.,Chhattisgarhi,Arabic,Pennsylvania
00171,31,Female,93,71,FALSE,2008-04-12,-0.8719795108349663,TRUE,85,88.8,82.9,5,2,5,3,We've got potentially six hundred thousand jobs and one hundred years worth of energy right beneath our feet with natural gas.,Kinyarwanda,Hmong,New York
00172,23,Female,110,67,TRUE,2008-05-25,0.9050722681894933,FALSE,89.9,86.2,87.1,1,1,2,5,"And part of that is bringing in a pipeline of oil from Canada, taking advantage of the oil and coal we have here, drilling offshore in Alaska, drilling offshore in Virginia where the people want it.",Hausa,Telugu,Wisconsin
00173,28,Male,97,73,TRUE,2007-10-01,-0.4907337407379874,FALSE,87.3,86.3,88.4,3,4,3,1,"And what I now want to do is to hire more teachers, especially in math and science, because we know that we've fallen behind when it comes to math and science.",Wu,Swedish,Texas
00174,20,Female,119,70,FALSE,2011-01-31,-0.8136471227047299,TRUE,85.7,87.9,87.5,2,5,4,5,Let me go to Governor Romney because you talked about Pakistan and what needs to be done there.,Somali,Javanese,Rhode Island
00175,24,Male,98,68,TRUE,2010-07-11,-0.4602034652585772,FALSE,84.8,99,88.8,3,3,3,3,I also want to make sure that we get this economy going.,Italian,Bengali,Missouri
00176,31,Female,84,67,FALSE,2009-10-06,-0.38348196166325915,FALSE,92.6,82,94.2,4,4,3,4,"We created partnerships throughout the region to deal with extremism in Somalia, in Yemen, in Pakistan.",Ilokano,Spanish,Oregon
00177,26,Female,92,67,TRUE,2010-09-24,-1.149625614069309,TRUE,89.8,83.5,87.5,1,2,5,3,Nothing wrong with that.,Portuguese,Hmong,Virginia
00178,29,Male,105,67,FALSE,2011-07-27,-0.8028235286503607,TRUE,90.8,88.2,94.1,1,3,2,5,"And I just described I just described to you, Mister President I just described to you precisely how I'd do it which is with a single number that people can put and they can put they're they're deductions and credits|",Shona,Tagalog,Georgia
00179,30,Female,89,65,TRUE,2009-04-16,1.8331708844949623,FALSE,89.6,86.8,83.3,3,3,3,2,"Number three, it puts in place an unelected board that's going to tell people ultimately what kind of treatments they can have.",Min Dong,Pashto,Virginia
00180,27,Female,119,67,TRUE,2008-03-08,0.08864300949139015,FALSE,89.9,89.4,86.5,4,1,4,3,"I want to move you both along to the next question, because it's in the same wheelhouse, so you will be able to respond.",Bengali,Kinyarwanda,Pennsylvania
00181,21,Male,90,68,TRUE,2011-03-12,0.47977595458643224,FALSE,87.7,88,89.3,3,4,2,2,No.,Japanese,Min Dong,Louisiana
00182,31,Female,107,64,FALSE,2011-09-16,1.7101808762799724,TRUE,91.7,90.5,93.3,2,3,4,5,"And Governor Romney wants to take us back to those policies, a foreign policy that's wrong and reckless, economic policies that won't create jobs, won't reduce our deficit, but will make sure that folks at the very top don't have to play by the same rules that you do.",French,English,Kansas
00183,30,Male,100,67,FALSE,2007-05-23,1.0835514532729025,TRUE,93.7,87.8,88.6,3,1,4,2,I'm Candy Crowley from CNN's State of the Union.,Min Bei,Bengali,California
00184,20,Female,97,70,FALSE,2012-05-12,-1.2654618807791223,TRUE,88.1,86.7,90.9,1,2,4,1,I do want to make sure that|,Belarusian,Polish,Ohio
00185,21,Female,98,59,FALSE,2012-01-31,0.02628759135814198,FALSE,84.6,86.5,87.7,4,4,4,4,per year in higher taxes as a result of the spending and borrowing of this administration.,Spanish,English,Arkansas
00186,30,Male,109,78,FALSE,2009-05-03,-0.4540045838070367,TRUE,85.5,85.7,83.8,2,4,4,4,Their choice.,Swedish,Hmong,Pennsylvania
00187,31,Male,112,62,TRUE,2012-04-15,1.474259441744729,FALSE,89.8,95.7,86,1,1,5,4,Folks on Social Security who've worked all their lives.,Telugu,Arabic,Wisconsin
00188,32,Female,117,67,FALSE,2011-02-08,0.12925056472333557,TRUE,85.1,85.8,95.5,5,4,4,1,And there was no demonstration involved.,Urdu,English,California
00189,34,Male,86,70,TRUE,2011-07-11,0.5525058047679244,FALSE,84.1,87.8,88.4,2,3,3,4,Thank you.,English,Uyghur,New York
00190,26,Male,105,65,TRUE,2010-07-07,-1.0474937065597685,TRUE,90.1,83.1,85.9,3,1,4,4,"He said, I'll get back to you.",Spanish,Russian,Florida
00191,25,Male,89,74,TRUE,2009-10-22,0.6995162169583857,FALSE,89.6,94.8,82.9,3,4,4,1,We've brought twice as many cases against unfair trading practices than the previous administration and we've won every single one that's been decided.,Sylheti,Spanish,Georgia
00192,32,Female,74,68,TRUE,2007-07-22,1.14150237585517,FALSE,92.4,88.1,83.9,3,4,1,2,And we need to make sure they have the arms they need to carry out the very important role which is getting rid of Assad.,Hiligaynon,Ukrainian,Florida
00193,33,Female,100,66,FALSE,2007-11-19,-0.7788867823906764,TRUE,93,84.8,96.4,2,4,1,2,Lorraine.,Saraiki,Malay/Indonesian,Idaho
00194,31,Female,80,70,TRUE,2011-05-22,-0.2787001507896454,TRUE,85.7,86.2,92,5,1,3,4,He didn't call for self deportation.,Hiligaynon,Hiligaynon,Oregon
00195,26,Female,99,70,TRUE,2009-08-22,0.6039834534232847,FALSE,85.5,83,82.5,1,4,2,2,My priority is jobs.,Sundanese,Korean,Connecticut
00196,30,Female,119,70,FALSE,2009-01-15,-0.504809141967769,TRUE,91.2,87.2,85.8,1,3,2,4,"Mister President, last two minutes belong to you.",Czech,English,Illinois
00197,26,Male,100,67,FALSE,2010-09-29,0.47894247174903876,TRUE,84.8,87.5,88.1,3,3,4,3,OK.,Arabic,Jin,California
00198,31,Male,108,74,TRUE,2012-07-22,0.8027190790758032,FALSE,83.3,93.4,85.6,1,1,3,1,"When I came into office, the world was divided.",Mossi,Hindi,California
00199,34,Female,88,75,TRUE,2009-03-08,-0.5370990812889641,TRUE,83.2,87,77.3,1,3,1,3,That's what I'm trying|,Uyghur,Fula,California
00200,35,Male,85,70,TRUE,2010-07-26,0.5736115055830165,TRUE,88.8,91.7,82.8,3,2,2,1,These are not just women's issues.,Gujarati,Xiang,California
00201,23,Female,108,68,TRUE,2008-06-03,0.5960579853610034,FALSE,79.4,87.3,87.8,5,2,5,2,Let's give the money directly to students.,Gujarati,Spanish,Florida
00202,31,Male,110,68,TRUE,2007-12-19,-1.514510357547635,TRUE,85.9,87.2,97,2,5,1,1,His words amount to genocide incitation.,Awadhi,Hmong,California
00203,31,Male,103,71,TRUE,2011-10-31,0.4293983623275572,FALSE,83.7,82.2,81.2,2,1,2,5,He now says he's going to replace Obamacare and ensure that all the good things that are in it are going to be in there and you don't have to worry.,English,Spanish,Rhode Island
00204,31,Female,94,64,TRUE,2009-01-15,-0.3204750001497347,FALSE,91.3,97,88.7,3,3,4,1,I'd like to be that leader with your support.,Telugu,Mossi,California
00205,25,Male,101,71,TRUE,2010-01-31,0.41106218917463355,TRUE,88.2,87.1,87.3,1,4,4,3,So more debt and less jobs.,Uyghur,Telugu,New York
00206,33,Male,100,66,FALSE,2010-05-17,-0.506266244299422,FALSE,83.3,87.4,86.2,5,5,4,1,I'll do it again.,Arabic,Kirundi,California
00207,30,Female,91,67,FALSE,2007-08-02,0.9263194057300026,TRUE,90.8,91.8,95.4,4,2,1,3,Every woman in America should have access to contraceptives.,Balochi,Portuguese,Florida
00208,27,Male,98,64,FALSE,2010-03-28,-0.543535881760175,TRUE,87.5,90,84.4,4,4,2,3,"I was just at a coal facility, where some one thousand two hundred people lost their jobs.",Spanish,Russian,South Carolina
00209,35,Female,97,65,TRUE,2010-11-06,-0.049752064171656674,TRUE,87.8,91.9,84.1,1,1,1,3,Let me give the president a chance.,Cebuano,Telugu,Hawaii
00210,33,Female,102,73,FALSE,2009-11-22,-0.7765489304069095,TRUE,88.4,83.4,89.4,5,5,4,1,And the plans that I talked about will create even more.,Hindi,Urdu,Maryland
00211,21,Male,78,71,TRUE,2011-12-31,0.6807761749172702,FALSE,85.9,93.2,92.2,3,1,5,3,S.,Dutch,Min Dong,Florida
00212,30,Female,86,68,TRUE,2012-07-28,-0.1370072380713361,TRUE,84.1,86.4,86.4,2,3,1,4,"No, no, I had a question and the question was how much did you cut them by?",Marathi,Marathi,Florida
00213,27,Female,98,68,TRUE,2010-12-25,0.5316923248385322,TRUE,87.4,87.9,90.5,1,3,3,2,"But go ahead and use this two minutes any way you'd like to, the question is on the floor.",Swedish,Czech,Maryland
00214,24,Male,115,66,FALSE,2007-10-05,0.7508175778933743,TRUE,89.9,93,90.6,5,4,3,2,And I would do nothing to hurt the U.,Arabic,Spanish,Maryland
00215,24,Female,101,71,TRUE,2009-09-09,0.21117521101682823,TRUE,86.9,91.1,90.9,5,3,3,2,You'll get your chance in a moment.,Uyghur,Quechua,New York
00216,23,Female,92,70,TRUE,2012-08-28,-0.8208468966813398,FALSE,90.6,86,86.9,3,4,2,5,"I mean, you have to have regulations so that you can have an economy work.",Korean,Fula,Florida
00217,35,Female,95,70,TRUE,2010-07-07,-1.4553418965268738,TRUE,92,95.2,86.6,2,2,4,2,"You know, under my leadership, what we've done is reformed education, working with governors, forty six states.",Hindi,Quechua,Oregon
00218,27,Male,91,71,FALSE,2009-12-13,-0.6310845238756404,TRUE,86.9,89,89.8,5,4,1,3,This puts us on a road to Greece.,Zhuang,Hindi,Oklahoma
00219,28,Male,88,71,TRUE,2010-12-17,1.1713951057645422,TRUE,88.3,88.6,92.6,4,3,5,1,"Oh, well, no.",Polish,Wu,Missouri
00220,34,Male,97,69,FALSE,2008-11-29,1.6752413796340881,TRUE,88.9,94.7,88.6,1,4,5,2,And I saw families there who showed me there where missiles had come down near their children's bedroo Miss And I was reminded of what that would mean if those were my kids.,Spanish,English,New York
00221,22,Male,89,71,FALSE,2012-09-04,0.08504930121992049,FALSE,94.4,87.4,89.2,1,3,2,5,And and we should not have wasted these four years to the extent they they continue to be able to spin these centrifuges and get that much closer.,Romanian,Spanish,Illinois
00222,34,Female,100,75,TRUE,2009-05-22,-0.16587433008997263,FALSE,85.5,86,88.2,2,3,3,2,"Mister President, have you looked at your pension?",Swedish,Konkani,Colorado
00223,35,Male,94,71,FALSE,2011-09-15,-0.6079190118264347,TRUE,92,87.8,88,1,4,5,1,"His top adviser on immigration is the guy who designed the Arizona law, the entirety of it; not E Verify, the whole thing.",Igbo,Punjabi,Colorado
00224,20,Male,107,73,FALSE,2011-08-14,-0.29128981237796303,TRUE,90.7,80.9,78.5,1,1,1,3,It's about who can get the middle class in this country a bright and prosperous future and assure our kids the kind of hope and optimism they deserve.,Shona,English,Pennsylvania
00225,33,Female,112,70,TRUE,2008-06-08,0.6222677307135298,TRUE,96.1,77.5,87.2,3,4,4,4,Including Senators previously who had supported it on the Republican side.,Czech,Uyghur,Michigan
00226,35,Female,88,70,FALSE,2010-03-06,-1.0280574935770068,TRUE,84,88,90.3,3,3,2,5,"dollar ninety billion, that would have that would have hired two million teachers.",Telugu,Czech,Tennessee
00227,29,Female,113,72,FALSE,2012-01-24,1.0062015499622325,FALSE,81.6,90.9,79.5,5,4,3,4,And the proof of that is twenty three million people out of work.,Fula,Dhundhari,Nevada
00228,21,Male,110,73,FALSE,2012-05-09,-0.7499342562820844,TRUE,81.7,88,86.4,3,3,2,5,I'm not going to grade the two of you and say your answers have been too long or I've done a poor job.,Konkani,Ilokano,California
00229,25,Female,93,74,TRUE,2012-07-14,-0.3811167128378393,FALSE,89.8,87.2,82.8,1,4,4,3,I would liquidate the industry.,Bengali,Belarusian,California
00230,35,Female,95,67,FALSE,2010-12-11,0.4369524152743046,TRUE,87.4,90.6,83.2,2,4,5,3,We have to also stand by our allies.,Arabic,Ukrainian,Minnesota
00231,30,Female,97,61,TRUE,2008-05-08,0.20844213293075625,FALSE,89.1,91.6,87.5,3,1,2,1,Yes.,Bhojpuri,Romanian,Alabama
00232,21,Female,93,62,TRUE,2008-08-22,0.5632991312261578,FALSE,94.7,92.2,92,4,2,5,4,"And Mister President, the next question is for you, so stay standing.",Belarusian,Spanish,Missouri
00233,30,Male,107,72,TRUE,2007-07-01,-0.13577938242527032,TRUE,86.3,91.9,82.8,1,4,1,2,"And I understand they do include investments outside the United States, including in in Chinese companies.",Bengali,Spanish,Iowa
00234,35,Female,104,63,FALSE,2011-07-04,-0.5937688316542589,FALSE,94,88.9,88.5,1,5,1,3,Regulations have quadrupled.,English,Hungarian,Georgia
00235,32,Female,105,66,FALSE,2009-06-10,1.4770842539502096,TRUE,92.9,83.8,81.6,4,5,3,5,And and so the strength that we have shown in Iran is shown by the fact that we've been able to mobilize the world.,English,Czech,Oregon
00236,31,Male,88,77,TRUE,2007-11-15,-0.3788373969840843,TRUE,90.8,89.9,79.2,5,1,3,4,How in the world the president said no to that pipeline?,Serbo-Croatian,Vietnamese,Mississippi
00237,28,Female,111,70,FALSE,2007-06-02,0.8148927947299947,FALSE,86.2,90.2,88.6,1,5,3,1,These countries can't develop if young women are not given the kind of education that they need.,Belarusian,English,Florida
00238,33,Male,96,66,FALSE,2008-06-17,0.06861906966504747,TRUE,85.5,82.4,81.5,4,2,2,2,I think this is a great example.,Javanese,Mossi,Virginia
00239,29,Male,111,66,FALSE,2010-06-18,-0.126686350398324,TRUE,91.3,86.3,79.7,1,5,2,5,"Good evening from the campus of Lynn University here in Boca Raton, Florida.",Russian,Kannada,California
00240,29,Male,108,73,TRUE,2009-10-18,0.3058015690711245,FALSE,96.7,95.3,90.5,2,5,2,3,"That wasn't true in his time, that's why my policy starts with a very robust policy to get all that energy in North America become energy secure.",Belarusian,Zulu,Ohio
00241,23,Female,106,70,TRUE,2009-12-26,-1.2919660257661794,TRUE,90.5,88.3,86,1,3,5,1,We've mobilized sanctions against that government.,Gan,Arabic,Florida
00242,22,Male,97,71,FALSE,2010-01-07,-1.09177831290502,TRUE,92.8,88.2,92.4,5,5,1,3,S.,English,Min Bei,Michigan
00243,22,Female,108,67,FALSE,2011-04-11,1.1236965359275808,TRUE,92.6,89,89.2,3,2,5,3,"With half of college kids graduating this year without a college excuse me, without a job.",English,Fula,California
00244,34,Male,87,73,TRUE,2010-04-23,-0.9100296583923767,FALSE,87.7,88,80.3,2,2,4,2,I said we're going to bet on American workers and the American auto industry and it's come surging back.,Polish,Konkani,New York
00245,34,Male,89,67,FALSE,2012-06-09,-0.8061061850483735,TRUE,97,88.4,95.1,3,3,4,1,I don't think anyone really believes that you're a person who's going to be pushing for oil and gas and coal.,Kazakh,Ukrainian,New Jersey
00246,25,Male,96,70,FALSE,2012-09-25,0.06564387273823326,FALSE,79.6,85.8,78.4,3,1,5,1,"And what we've also done is engaged these governments in the kind of reforms that are actually going to make a difference in people's lives day to day, to make sure that their governments aren't corrupt, to make sure that they're treating women with the kind of respect and dignity that every nation that succeeds has shown and to make sure that they've got a free market system that works.",Saraiki,Hindi,California
00247,34,Female,101,64,FALSE,2009-07-07,1.4125703980057542,TRUE,89.4,83.9,91.1,5,4,5,3,And I am confident that Assad's days are numbered.,Azerbaijani,Kinyarwanda,Virginia
00248,30,Female,84,71,FALSE,2008-03-12,-0.6594069127804781,TRUE,85.4,87.5,91.8,5,5,2,2,"We were sitting around, talking about Libya, and we were reading and became aware of reports that the State Department refused extra security for our embassy in Benghazi, Libya, prior to the attacks that killed four Americans.",Cantonese,Shona,Oregon
00249,27,Female,95,69,FALSE,2008-04-29,-1.566532893039857,TRUE,88,78.4,88.3,2,1,2,4,You will each have two minutes to respond and then we will have a general discussion until we move to the next segment.,Spanish,Xiang,New York
